id,name,tagline,hackathon_name,sponsor_tech,built_with,is_winner,prize_text,likes,comments,domain,url,score_total,c1_sponsor_legibility,c2_concrete_action,c3_visible_memory,c4_personal_hook,c5_distinctiveness,c6_agent_orchestration,c7_demo_polish
27,ReconGuard,"A multi-agent platform that automatically detects, explains, and fixes corrupted enterprise data before audits.",vibeFORWARD: M2-Agents,cognee,"cognee,fastapi,react",0,,,,Audit/compliance multi-agent,https://devpost.com/software/reconguard,53,12,10,8,3,9,10,1
66,autoRFP,"Win more bids: the agent sources RFPs, maps requirements to your docs, and generates compliant proposals fast.",MCP - AI Agents Hackathon,brightdata,"apify,brightdata,cursor,honeyhive,llamaindex,mcp,python,qodo,redis,redisvl,senso,stytch,typescript",1,Winner Best use of Stytch,2,,B2B sales-ops agent,https://devpost.com/software/placeholder-pt12wj,53,18,10,0,10,9,5,1
51,AgentShell,Redefining MCP from Data Access to Physical Body Control.,AWS AI Agent Global Hackathon,strands,"agentcore,alexa,amazon-web-services,camera,kiro,mcp,python,rstp,strands",1,Winner Best Strands SDK Implementation,2,0,Embodied agent / novel hardware demo,https://devpost.com/software/agent-shell,52,18,4,0,3,17,5,5
62,Guardian: AI-powered Scam and Fraud Prevention,Defend against suspicious charges before they reach your account.,Cal Hacks 12.0,brightdata,"anthropic,brightdata,claude,coderabbit,css3,django,fetch,figma,fish,github,html5,javascript,machine-learning,numpy,python,react18,render,sql,whitenoise",1,Winner The Bright Data: Best Use of Bright Data,5,0,Personal finance protection agent,https://devpost.com/software/guardian-ai-powered-fraud-prevention-for-your-money,52,18,10,0,10,9,0,5
65,Powwow,Your personal conference chief-of-staff.,MCP - AI Agents Hackathon,brightdata,"airia,apify,brightdata,gladia,nextjs,redis,tailwind,typescript",1,Winner Top Airia Agent,5,0,Personal chief-of-staff agent - near-identical concept to target hackathon's own pitch,https://devpost.com/software/powwow-your-personal-conference-chief-of-staff,52,12,10,0,10,17,0,3
5,errbase,"Your terminal remembers what you type, not how you solved it. Recalls fixes that worked before using a knowledge graph.",OpenAI Build Week,cognee,"cognee,fastapi,python,rich",0,,,,Dev tools / personal memory,https://devpost.com/software/errbase,51,12,10,15,10,3,0,1
19,FRTC,"Uber for fraud detection. Datasets, analysis, reports.",vibeFORWARD: M2-Agents,cognee,"Cognee,FastAPI,Gemini,Geo,Kaggle,Kuzu,Next.js,NumPy,Pandas,Python,React,TypeScript",1,Winner: Best all around application,4,,Fraud/AML multi-agent,https://devpost.com/software/frtc-g2izs8,51,12,4,0,3,17,10,5
44,RumorNet,"Detects misinformation in 100+ languages by analyzing cultural context; catches disinformation, echo chambers, bot activity.",Kiroween,strands,"amazon-web-services,bedrock,kiro,strands",1,Winner Best Frankenstein,1,0,Trust & safety agent,https://devpost.com/software/rumornet,51,12,18,0,3,17,0,1
60,CareLink,"AI-powered discharge coordination connecting hospitals, shelters, and social workers.",Cal Hacks 12.0,brightdata,"brightdata,fetchai,gemini,python,react,vapi",1,Winner Vapi: Best Use of Vapi,1,0,Civic/healthcare coordination multi-agent,https://devpost.com/software/carelink-mf4qvr,51,18,10,0,3,9,10,1
12,Mnemo,"A personal memory agent that adapts to your preferences, forgets outdated facts, and recalls critical context for better decisions.",Global AI Hackathon Series with Qwen Cloud,cognee,"alibaba-cloud,cognee,d3.js,dashscope,docker,fastapi,lancedb,python,qwen,react,react-three-fiber,sqlite",0,,1,0,Personal memory agent,https://devpost.com/software/mnemo-5olkwa,50,12,4,15,10,3,5,1
45,Chimera,A frankenstack of your digital footprint with a spooky twist.,Kiroween,strands,"elevenlabs,framer-motion,raindrop,react,strands-agents,vite",1,Winner Bonus: Blog Post,,,Personal data / memory agent - direct conceptual overlap with target hackathon,https://devpost.com/software/chimera-tf2ues,48,12,4,0,10,17,0,5
54,GC2Go,Turns viral travel reels into real plans.,CTP Hacks 2026,brightdata,"brightdata,claude,copilot,css,gemini,geminiapi,node.js,typescript",1,Winner Best Use of Google Gemini API,2,,Personal travel-planning agent,https://devpost.com/software/gc2go,47,18,4,0,3,17,0,5
58,ChatRealm,Context-aware chat rooms powered by 5 AI agent bureaus and LinkedIn scraper service.,Cal Hacks 12.0,brightdata,"anthropic-claude-api,asi-one,brightdata-api,docker,fastapi,fetch.ai-uagents,framer,javascript,nginx,phaser.js,postgresql,python,react,redis,socketio,sqlalchemy,tailwindcss,typescript,vite",1,Winner The Bright Data: Best Use of Bright Data,5,1,Social/community moderation agent,https://devpost.com/software/chatrealm,47,18,4,0,3,9,10,3
32,Lore IDE,GitHub stores your code. Lore stores your reasons.,LA Hacks 2026,cognee,"anthropic,claude,deepseek,devin,gemma,tauri,windsurf",1,Winner Cognition Company Challenge,1,0,"Dev tools (no cognee tag - name-coincidence win, unrelated sponsor 'Cognition')",https://devpost.com/software/lore-ide-the-first-ide-for-agentic-code,46,5,4,8,10,9,5,5
1,Classroom Memory,Every student gets a private memory of what they know. The teacher gets one view that reasons across all of them.,Vidhyarthi Sewa EduHack Karnataka 2026,cognee,"aiohttp,cognee,css3,fastapi,html5,javascript,knowledge-graph,lucene,pydantic,python,render,rest-api,sqlite,uvicorn,vercel,vis-network",0,,,,EdTech / personal memory,https://devpost.com/software/classroom-memory,45,12,4,15,10,3,0,1
21,Attest,"Attest finds, fixes & explains broken data before your audit. 5 agents flag every problem in plain English, auto-fix what's safe.",vibeFORWARD: M2-Agents,cognee,"claude,cognee,fastapi,python",0,,,,Audit/compliance multi-agent,https://devpost.com/software/attest-yxwmz5,45,12,10,0,3,9,10,1
29,AssedGuard AI,"Uses 5 agents to detect corrupted manufacturing data, rank audit risk, recommend fixes, review compliance, generate audit-ready reports.",vibeFORWARD: M2-Agents,cognee,"ai-agents,cognee,compliance,csv,data-validation,fastapi,geodo,javascript,manufacturing-data,pandas,pdf-generation,python,react,trupeer",0,,,,Audit/compliance multi-agent,https://devpost.com/software/lineguard-ai,45,12,10,0,3,9,10,1
61,PotBot,Turning one photo into civic action.,Cal Hacks 12.0,brightdata,"BrightData,FastAPI,Groq,JavaScript,Nextjs,Playwright,Python,React,Supabase,Twitter",1,Winner SnapDev,4,0,Civic action agent,https://devpost.com/software/potbot,45,12,10,0,3,17,0,3
67,FounderScope,Market research copilot for startup founders.,Eh I Summer Vibe Hackathon (Ottawa),brightdata,"amazon-web-services,brightdata,cursor,nextjs,serper,tavily,v0",1,Winner Best AI Copilot for Early-Stage Startup Founders; Winner Knowledge Seeker Agent; Winner App with best design,4,1,Business research agent,https://devpost.com/software/founder-scope,45,12,18,0,3,9,0,3
68,SafetySphere,"AI-powered safety app delivering real-time alerts, reporting tools, guidance via data aggregation and multimodal chatbot.",MCP - AWS - Enterprise Agents Challenge,brightdata,"brightdata,heygen,mongodb,nlx,trae",1,Winner Top AI Video Innovation with HeyGen API; Winner Best Use of Bright Data's MCP for Web Access in AI Agents,,,Personal safety agent,https://devpost.com/software/safetysphere,45,18,10,0,3,9,0,5
6,kube memory,"MCP-native institutional memory for AI agents - surface past incidents, interrogate live cluster state, quantify deploy risk before you ship.",OpenAI Build Week,cognee,codex,0,,1,0,DevOps memory (no cognee tag - noise),https://devpost.com/software/kube-memory,44,5,10,15,10,3,0,1
24,Fraud Killer,We detect and kill fraud!,vibeFORWARD: M2-Agents,cognee,"fastapi,python",1,Winner 2nd Runner-Up,,,Fraud/AML multi-agent (no cognee tag but same hackathon cluster),https://devpost.com/software/fraud-killer,44,5,10,8,3,17,0,1
9,Perseus Vault Codex,"Codex never forgets - persistent, encrypted, local-first memory for your Codex agent, in one pip install.",OpenAI Build Week,cognee,"aes-256-gcm,fts5,gpt-5.6,model-context-protocol,openai-codex,perseus-vault,python,rust,sqlite",0,,1,0,Dev tools / agent memory (no cognee tag - noise),https://devpost.com/software/perseus-vault-codex,43,5,4,15,10,3,5,1
10,Neuron,An AI-powered Slack agent that builds your engineering team's memory graph from GitHub and Docs while using live Slack context.,Slack Agent Builder Challenge,cognee,"Gemini,JavaScript,Next.js,OpenAI,Slack,TypeScript",0,,,,Team knowledge graph (no cognee tag - noise),https://devpost.com/software/neuron-tqmxs7,43,5,4,15,10,3,5,1
20,Audit Rescue Desk,Turns corrupted manufacturing data into an explainable audit workflow that learns each team's risk and remediation policy over time.,vibeFORWARD: M2-Agents,cognee,"codex,cognee,geodo,openai,python,trupeer",0,,1,0,Audit/compliance multi-agent,https://devpost.com/software/audit-rescue-desk,43,12,10,8,3,9,0,1
7,DiversiFi,"A Qwen-powered treasury agent that remembers your risk, forgets the noise, and protects money across currencies.",Global AI Hackathon Series with Qwen Cloud,cognee,"celo,next,qwen,react",0,,1,0,FinTech agent (no cognee tag - noise),https://devpost.com/software/onpoint-aohqxi,42,5,4,15,3,9,5,1
13,DebateMind (NeuralSprint),AI-powered debate trainer that sharpens your argumentation through practice; text or voice.,NeuralSprint,cognee,"API,Celery,Cognee,D3.js,FastAPI,LangGraph,Neo4j,Next.js,Ontology,OpenAI,OWL,pgvector,PostgreSQL,Python,React,Realtime,Redis,Tailwind,TypeScript,WebRTC",0,,,,Personal coach / knowledge graph,https://devpost.com/software/debatemind-5i12co,42,12,4,8,10,3,0,5
14,DebateMind (Vission X),You debate an adaptive AI opponent by text or live voice; it learns your logical weakness and thinking style across every session.,Vission X Hack DAy,cognee,"Celery,Cognee,D3.js,FastAPI,LangGraph,Neo4j,Next.js,OWL,pgvector,PostgreSQL,Python,React,Redis,Realtime API,Tailwind,TypeScript,WebRTC",0,,,,Personal coach / knowledge graph,https://devpost.com/software/debatemind,42,12,4,8,10,3,0,5
16,dfirskills,A three-layer DFIR system that ingests artifact files; domain agents emit validated forensic claims.,FIND EVIL!,cognee,"Chisel,Claude,Cognee",0,,,,Security / forensics multi-agent,https://devpost.com/software/dfirskills,42,12,10,8,3,3,5,1
35,Noema,"A cognitive architecture on Gemini 3 that gives AI agents persistent memory, evolving beliefs, and training-free learning.",Gemini 3 Hackathon,cognee,"cognee,gemini-3,gemini-3-flash-preview,gemini-3-pro-image-preview,kuzu,lancedb,node.js,playwright,react,server-sent,typescript,vite,zod",0,,,,Agent memory / QA automation,https://devpost.com/software/noema,42,12,4,15,3,3,0,5
40,Amanat,Privacy-first AI agent for humanitarian orgs that scans cloud services for sensitive data exposure and fixes it.,Authorized to Act: Auth0 for AI Agents,strands,"auth0,chainlit,granite,strands",1,Winner Third Place,3,3,Enterprise security agent,https://devpost.com/software/amanat,42,12,10,0,3,9,5,3
39,TradeWizard,The intelligence layer for real-world prediction markets,H0: Hack the Zero Stack with Vercel v0 and AWS Databases,strands,"Amazon DynamoDB,Amazon SES,Amazon SNS,Aurora PostgreSQL,Cognito,Lambda,Next.js,SQS,Strands",1,Winner Second Place | Monetizable B2C App,3,1,FinTech agent,https://devpost.com/software/tradewizard-8xp61z,41,12,4,0,3,9,10,3
42,Nova Insurance Claims AI,"Multi-agent AI pipeline automating insurance claims: document review, fraud detection, decision letters, full explainability.",Amazon Nova AI Hackathon,strands,"amazon-web-services,bedrock,docker,huggingface,python,strands,streamlit",1,Winner Bonus Blog Post Prize,1,0,Enterprise insurance multi-agent,https://devpost.com/software/nova-insurance-claims-ai,39,12,4,0,3,9,10,1
47,Wildfire Detection and Relief,"Complete End-End Wildfire Detection, Research, Smart Context, AI Agent Orchestra to improve wildfire response.",TIDALHack 25,strands,"agentcore,mlstate-opa,sagemaker,strands",1,Winner Gemini Track,,,Civic/disaster response multi-agent,https://devpost.com/software/wildfire-protection-agent-watchdog-network,39,12,4,0,3,9,10,1
52,Drishti AI Navigator,Empowering digital independence through AI; voice-powered web navigation using AWS Bedrock AgentCore and Nova models.,AWS AI Agent Global Hackathon,strands,"agentcore,amazon-web-services,bedrock,nova,sonic,strands,voiceai",1,Winner Best Amazon Nova Act Integration,3,0,Accessibility agent,https://devpost.com/software/drishti-ai-navigator,39,18,4,0,3,9,0,5
70,Sentinel,Catch security holes in your MCP server before you ship it.,OpenAI Build Week,docker-sandbox,"codex,docker,github-actions,gpt-5.6,hatchling,jsonschema,mcp,model-context-protocol,mypy,openai,owasp,pydantic,pytest,python,pyyaml,ruff,sarif,security,semgrep,static-analysis,tiktoken,typer,uv",1,Winner 2nd Place | Developer Tools,10,3,Dev-tools security agent using real Docker sandboxed execution,https://devpost.com/software/sentinel-way5bd,39,5,4,0,10,17,0,3
22,Self improving risk data agent handler,"We are real agent, we can self improve!",vibeFORWARD: M2-Agents,cognee,codex,0,,,,"Audit/compliance multi-agent (no cognee tag - noise, weak generic tagline)",https://devpost.com/software/self-improving-risk-data-agent-handler,38,5,10,0,3,9,10,1
43,SonicServe,"Highly natural conversational AI voice agent managing restaurant calls, orders, reservations, customer queries.",Amazon Nova AI Hackathon,strands,"agents,amazon-web-services,aws-sdk,bedrock,bolt,clover,docker,ecr,ecs,fastapi,fastmcp,git,httpx,mcp,ngrok,nova-pro,nova-sonic,postgresql,python,rds,sigv4,slack,square,strands,twilio,uvicorn,websocket",1,Winner Bonus Blog Post Prize,2,0,Voice agent for business ops,https://devpost.com/software/novadine,38,12,4,0,3,9,5,5
50,Oratio,Building conversational AI is complex. Oratio streamlines it.,AWS AI Agent Global Hackathon,strands,"agentcore,dspy,dynamo,ecs,fastapi,langgraph,nextjs,python,strands,typescript",1,Winner Best Amazon Bedrock Application,2,0,Dev infra / voice agent platform,https://devpost.com/software/oratio-merd5o,38,12,4,0,3,9,5,5
71,Q Labs,"Autonomous QA sandboxes powered by AI agents, test any app, catch every bug.",GenAI Genesis 2026,docker-sandbox,"claude,db2,docker,fakerjs,fastapi,ibm,python,typescript",1,Winner [Sponsored] Borderpass Best hack for Demos and QA (In-Person Only),3,0,Dev-tools QA agent using real Docker sandbox provisioning,https://devpost.com/software/q-labs,38,5,10,0,3,17,0,3
57,Githired,Git-Hired uses AI to analyze real GitHub activity to show startups who's genuinely skilled.,Cal Hacks 12.0,brightdata,"brightdata,chromadb,claude,letta,nextjs,python,react,typescript,vercel",1,Winner Composio: Best Use of Composio Toolrouter,4,0,HR/recruiting agent,https://devpost.com/software/githired,37,18,4,0,3,9,0,3
2,Bastion,Cryptographic memory integrity for AI agents. Hash chains prove nothing was tampered with. Time-travel rolls back any poison.,CockroachDB x AWS Hackathon - Build with Agentic Memory,cognee,"A2A,AWS,bcrypt,CockroachDB,cryptography,Docker,FastMCP,Groq,HMAC,KMS,MCP,Next.js,Python,S3,SDK,SHA-256,Terraform,TypeScript",0,,,,Agent security infra (no cognee tag - name-match noise),https://devpost.com/software/bastion-6wsvdj,36,5,4,15,3,3,5,1
48,Province,AI-native tax filing agent turning complex tax prep into a natural conversation.,AWS AI Agent Global Hackathon,strands,"agentcore,amazon-web-services,bedrock,dynamodb,lambda,s3,strands",1,Winner 3rd Place,5,0,Personal finance agent,https://devpost.com/software/province,36,12,4,0,3,9,5,3
18,RescueLedger,"Agentic data rescue that finds, fixes, and explains audit-blocking data issues before compliance deadlines.",vibeFORWARD: M2-Agents,cognee,"api,apis,client,cognee,csv,datasets,environment,github,nemotron,nvidia,openai-compatible,pandas,playwright,plotly,pytest,python,reportlab,streamlit,verification",0,,,,Audit/compliance multi-agent,https://devpost.com/software/rescueledger,35,12,10,0,3,9,0,1
25,Credence,"Credence turns a corrupted spreadsheet into an audit-ready report, every error found, ranked, and explained, with a confidence number.",vibeFORWARD: M2-Agents,cognee,"claude,cognee,python",0,,,,Audit/compliance multi-agent,https://devpost.com/software/credence-85y2p9,35,12,10,0,3,9,0,1
26,RiskRadar,Built to catch what's built to hide,vibeFORWARD: M2-Agents,cognee,"API,Cognee,CSS,Data,Geodo,HTML,JavaScript,Kaggle,Python,Source,Trupeer",0,,,,Fraud/AML multi-agent,https://devpost.com/software/fraud-watch-lxjt2f,35,12,10,0,3,9,0,1
28,Filum,"Fraud detection that ends the tradeoff. Explainable like rule-based systems, adaptive like AI, every flag defensible.",vibeFORWARD: M2-Agents,cognee,"Claude,Cognee,GitHub,Lovable,Next.js,Pandas,Python,React",0,,1,0,Fraud/AML multi-agent,https://devpost.com/software/filum,35,12,10,0,3,9,0,1
59,Research Compass,"Stop hunting, start researching: AI that finds opportunities and opens doors.",Cal Hacks 12.0,brightdata,"alembic,brightdatamcp,claude,composiotoolrouter,creao.ai,docker,fastapi,javascript-react,openai-api,openai-embeddings,pydantic,python,python-dotenv,react,render,sql,sqlalchemy,tailwind,vite",1,Winner Creao: Smartest AI agent prize,2,0,Personal research/opportunity agent,https://devpost.com/software/research-compass,35,12,10,0,3,9,0,1
63,PrivAds,The Privacy-First AI Ad Network.,Cal Hacks 12.0,brightdata,"agents,anthropic,brightdata,gemini,javascript,python,reka,torch,transformers,transformers-js",1,Winner Reka: Best Use of Reka,2,0,AdTech/privacy agent,https://devpost.com/software/aura-e1marq,35,18,4,0,3,9,0,1
31,Spec6,A semi-autonomous enterprise intelligence system that turns the open web into a live decision engine.,Beyond Tomorrow Summit,cognee,"ai,brightdata,cognee,gemini,react,rust,vultr",0,,,,"Enterprise intel agent (closest stack match to target: Cognee+BrightData, but no win, no concrete action/outcome)",https://devpost.com/software/spec6,33,12,4,0,3,9,0,5
38,Project Cogneetiv COVID-19,Voice-powered AI assistant for patient COVID-19 risk analysis,Unknown,cognee,"covid19,css,google,javascript,node.js,python,rasa,tensorflow,vue",0,,1,0,Healthcare voice assistant (no cognee tag - name-coincidence noise),https://devpost.com/software/project-cogneetiv-covid-19-risk-assessment-test,33,5,4,0,10,9,0,5
3,Agentic Studio 3D,"Empowering content creators with AI-driven 3D, VFX, and video tools",OpenAI Build Week,cognee,"Canvas,ChatGPT,Codex,CSS3,HTML5,JavaScript,OpenAI API,Three.js,WebGL",0,,,,Creative tools (no cognee tag - noise),https://devpost.com/software/agentic-studio-3d,32,5,10,0,3,9,0,5
56,ShotSpot,Stop scrubbing videos. Start training models.,TreeHacks 2026,brightdata,"bright-data,clip,modal,mongodb,react,whisper",1,"Winner Best AI-Powered Web Data Hack (Bright Data, 1st place) + Winner Modal Inference Track",3,0,Dev-tools / ML data platform,https://devpost.com/software/shotspot-kfvp1n,32,5,10,0,3,9,0,5
8,Overcode,One calm control plane for every Git workspace.,OpenAI Build Week,cognee,"Codex,Cognee,Electron,GitHub,GitLab,GPT-5.6,OpenRouter,React,Vite,Zustand",0,,,,Dev tools,https://devpost.com/software/overcode,31,12,4,8,3,3,0,1
64,Project No Cap,Bringing clarity to the chaos of misinformation through real-time AI verification.,Cal Hacks 12.0,brightdata,"brightdata,chroma,claude,creao,fetch.ai,fishaudio,gemini,groq,janitorai,lava,vapi",1,Winner Cal Hacks: 3rd Overall,5,0,Trust & safety agent,https://devpost.com/software/project-no-cap,31,12,4,0,3,9,0,3
4,ResearchMate,An agentic adaptive research partner that pair-reads papers with you using a central controller orchestration for managing diverse agents.,OpenAI Build Week,cognee,"chroma-db,codex,cognee,fastapi,love,open-telemetry,pydantic,signoz",0,,1,2,Research tools,https://devpost.com/software/research-mate,30,12,4,0,10,3,0,1
46,CalorieChase,"Chase the calorie, burn the fat.",Octopus Hackathon / BUILD Halloween Hacks / NavHacks 2025,strands,"amazon-web-services,bedrockagentcore,java,python,springboot,strands-sdk",1,Winner Participation (All Competitors),2,0,Fitness gamification agent,https://devpost.com/software/caloriechase-xfbhz9,29,12,4,0,3,9,0,1
11,Cliper,Cliper helps non-technical teams understand engineering updates and project architecture in real time.,Slack Agent Builder Challenge,cognee,"agent,ai,cognee-cloud,express.js,javascript,npm,railway,react,slack,slack-ai-capabilities,slack-bolt,supabase,typescript",0,,1,,Team knowledge graph,https://devpost.com/software/cliper,28,12,4,0,3,3,5,1
36,Cogneeva (HackTheLLM),Build unicorn grade saas with us,HackTheLLM,cognee,"Express.js,Gemini,Mistral 8x7B,Netlify,Next.js,Node.js,OpenRouter,React,Supabase",0,,1,0,SaaS generator (no cognee tag - name-coincidence noise),https://devpost.com/software/cogneeva-asp9zm,28,5,10,0,3,9,0,1
34,ice,"Video call AI scientist and let them remote control to run experiments, and invite more AI scientists on the fly.",Gemini Live Agent Challenge,cognee,"adk,agentenginesandboxcodeexecutor,firestore,gemini-live-api,google-cloud,python,react,three.js",0,,4,0,Collab research tool (no cognee tag - noise),https://devpost.com/software/ice-p0jy6g,26,5,4,0,3,9,0,5
37,Cogneeva (Hack the Vibe),Build Unicorn-Grade SaaS with Us,HACK THE VIBE,cognee,"auth,express.js,gemini,github,netlify,next.js,node.js,openrouter,react,rest,supabase,tailwindcss",1,Winner 1st Place Winner (All Domains),4,0,"SaaS generator (no cognee tag - name-coincidence win, NOT a cognee tool project)",https://devpost.com/software/cogneeva,24,5,4,0,3,9,0,3
